Equipos,Victorias Locales,Victorias Visitantes,Empates Locales,Empates Visitantes,Derrotas Locales,Derrotas Visitantes,Victorias Totales,Empates Totales,Derrotas Totales,Partidos Totales,Porcentage Victoria,Porcentage Empate,Porcentage Derrota,Goles a favor,Goles en contra,Partidos jugados,Victorias,Empates,Derrotas,Porcentaje Victoria,Porcentaje Empate,Porcentaje Derrota,cluster,Total_Goles,Total_Asistencias,Promedio_Rating,Total_Minutos,Total_Amarillas,Total_Rojas
Bayern München,26.0,26.0,4.0,5.0,4.0,6,52.0,9.0,10.0,71.0,73.23943661971832,12.676056338028168,14.084507042253522,3.628676210746693,1.3989501367706434,2.458466252605824,3.4420709542209966,1.0398586045412102,0.3226960943067533,2.4416076575466272,-0.7745066525625337,-1.6029115421023243,2,18.0,14.0,6.748695652173913,9882.0,13.0,1.0
Real Madrid,25.0,24.0,7.0,5.0,7.0,11,49.0,12.0,18.0,79.0,62.0253164556962,15.18987341772152,22.78481012658228,3.2153162594372926,2.842430724360361,2.862172289875833,3.2032083791060164,1.7727709944889305,1.895839554052176,1.86082232841082,-0.5744390536639168,-1.169288132934394,2,20.0,17.0,6.8572727272727265,10246.0,18.0,0.0
Paris Saint-Germain,19.0,16.0,5.0,6.0,7.0,10,35.0,11.0,17.0,63.0,55.55555555555556,17.46031746031746,26.984126984126984,2.503418565515548,1.8951465887546088,2.054760215335815,2.088516361902776,1.528466864506357,1.5812108621030914,1.525749923366209,-0.3937408271679582,-1.014882237740788,2,19.0,11.0,6.698571428571428,9906.0,27.0,0.0
Borussia Dortmund,14.0,10.0,8.0,3.0,6.0,15,24.0,11.0,21.0,56.0,42.85714285714285,19.642857142857142,37.5,1.4011253620238142,1.9402553571167875,1.7015174327245568,1.212686919814515,1.528466864506357,3.154354321848514,0.8680922836513194,-0.220038660326157,-0.1503286106580324,2,15.0,13.0,6.739130434782608,9905.0,16.0,0.0
