HOME_TEAM,Goles a favor,Goles en contra,Partidos jugados,Victorias,Empates,Derrotas,Porcentaje Victoria,Porcentaje Empate,Porcentaje Derrota,cluster
Bayern München,3.6286762107466926,1.3989501367706434,2.458466252605824,3.4420709542209966,1.0398586045412102,0.32269609430675333,2.4416076575466272,-0.7745066525625337,-1.6029115421023243,2
Manchester City,3.2382807011767034,1.8500378203924301,2.6603192712408283,3.1235875207343566,2.261379254454077,0.9519534782049224,1.9630922537766102,-0.29773090222267157,-1.4273529136435426,2
Real Madrid,3.2153162594372926,2.842430724360361,2.862172289875833,3.2032083791060164,1.7727709944889305,1.895839554052176,1.86082232841082,-0.5744390536639168,-1.169288132934394,2
Liverpool FC,2.5263830072549593,1.714711515305894,2.155686724653317,2.486620653761076,1.0398586045412102,1.895839554052176,1.8356078497703392,-0.6813818978542411,-0.9316916229949228,2
Juventus,1.5618764541996921,1.3989501367706434,2.054760215335815,2.247758078646096,1.0398586045412102,1.266582170154007,1.6901643332949317,-0.6463985243923961,-1.1406354925891888,2
FC Barcelona,1.883378638551448,1.7598202836680727,1.9538337060183124,2.008895503531116,2.017075124471504,1.266582170154007,1.5351835370506437,-0.08723804692847612,-1.1035279747650706,2
Paris Saint-Germain,2.503418565515548,1.8951465887546088,2.054760215335815,2.088516361902776,1.528466864506357,1.5812108621030914,1.525749923366209,-0.3937408271679582,-1.014882237740788,2
Chelsea FC,1.1714809446297032,0.7674273797001421,1.3482746501132992,1.4515494949294951,1.2841627345237836,0.6373247862558379,1.5022621505192482,-0.15913010831669455,-1.1406354925891888,1
Leicester City,-0.5278877440867198,-1.0820321231491832,-0.6197922815779945,-0.3001093892470265,-0.6702703053368041,-0.6211899815405002,1.238024705990945,-0.19161466938840768,0.1043217304099793,0
AFC Ajax,0.9188720854961808,0.7223186113379635,0.7931788488670369,0.8145826279562146,0.5512503445760631,-0.6211899815405002,1.238024705990945,-0.3172786293237204,-1.6469578081630132,1
AS Roma,0.02325885765914712,-0.13474798754343123,-0.11515973499048328,0.09799490261127387,-0.6702703053368041,0.6373247862558379,1.238024705990945,-0.9874864156453873,0.5004444831824418,1
Arsenal FC,-0.3212077684320197,-0.8113795129761112,-0.7207187908954967,-0.37973024761868657,-0.6702703053368041,-1.2504473654386692,1.238024705990945,0.2063212037400821,-1.2821079042936396,0
RB Leipzig,0.7351565515808919,1.6244939785815369,0.7931788488670369,0.7349617695845545,0.06264208461091626,1.266582170154007,1.1017338135500303,-0.7361584957747622,-0.39604385203944725,1
Manchester United,0.36772548375031394,0.0907958542674621,0.49039932091453015,0.4960991944695743,0.06264208461091626,0.32269609430675333,1.076179271217359,-0.5398085583758363,-0.7869544633280615,1
FC Porto,0.9418365272355919,1.3538413684084647,1.3987379047720503,1.133066061442855,1.0398586045412102,1.5812108621030914,1.030862549480755,-0.3507890186398036,-0.6879237751349458,1
SSC Napoli,0.8270143185385364,0.5418835378892488,0.7931788488670369,0.6553409112128944,1.2841627345237836,0.9519534782049224,0.965442921109116,0.31104117035284246,-0.604529511393375,1
Tottenham Hotspur,0.8270143185385364,1.0831887582353927,1.0454951221607924,0.8145826279562146,1.0398586045412102,0.6373247862558379,0.9369169203656689,-0.11758008834124667,-0.9827128004539877,1
Borussia Dortmund,1.4011253620238142,1.9402553571167875,1.7015174327245568,1.212686919814515,1.528466864506357,3.154354321848514,0.8680922836513194,-0.22003866032615702,-0.15032861065803244,2
Atlético Madrid,0.7121921098414807,1.2185150633219288,1.8529071967008102,1.292307778186175,2.749987514419224,2.8397256298994296,0.8430121194249046,0.3749380991335099,-0.3925101967961601,2
Villarreal CF,-0.3212077684320197,-0.8113795129761112,-0.5188657722604922,-0.3001093892470265,-0.42596617535423065,-0.9358186734895847,0.8064368799280494,0.2063212037400821,-0.9520056103165877,0
Inter,0.39068992548972503,0.4065572328027128,0.8436421035257881,0.5757200528412343,1.2841627345237836,0.9519534782049224,0.7732378163847493,0.2573386233719396,-0.6472958004916165,1
FC Schalke 04,-0.5967810693049531,-0.9015970497004686,-0.7207187908954967,-0.4593511059903467,-0.6702703053368041,-0.9358186734895847,0.5906429668966012,0.2063212037400821,-0.2918010223624833,0
Eintracht Frankfurt,-0.6197455110443643,-0.9467058180626472,-0.7207187908954967,-0.4593511059903467,-0.9145744353193775,-0.9358186734895847,0.5906429668966012,-0.7885184790811424,-0.2918010223624833,0
Valencia CF,-0.3441722101714308,-0.585835671165218,-0.41793926294299,-0.3001093892470265,-0.1816620453716572,-0.9358186734895847,0.498159861311695,0.49056111311757467,-1.1406354925891888,0
FC Basel,-0.4130655353896642,-0.5407269028030393,-0.41793926294299,-0.3001093892470265,-0.6702703053368041,-0.6211899815405002,0.498159861311695,-0.6463985243923961,-0.5747458457713852,0
SL Benfica,0.7810854350597141,2.0755816622033234,1.1968848861370458,0.5757200528412343,1.528466864506357,1.5812108621030914,0.4499078062239177,0.11981340523388878,-0.5501419480836545,1
Atalanta,0.1380810663562027,0.4065572328027128,0.03623002898577009,-0.06124681413204628,0.30694621459348975,-0.3065612895914157,0.4499078062239177,0.29282900224627545,-0.8945965157118829,1
Sevilla FC,0.32179660027149165,0.7674273797001421,0.7931788488670369,0.33685747772625413,2.261379254454077,-0.3065612895914157,0.420279351345458,1.148800903254926,-1.4384721488090855,1
Viktoria Plze?,-0.6197455110443643,-0.8113795129761112,-0.821645300212999,-0.5389719643620068,-0.9145744353193775,-0.9358186734895847,0.374849053865153,-0.45690525147406774,0.36840356559162063,0
