SEASON,HOME_TEAM,AWAY_TEAM,HT_SCORE,AW_SCORE
2020,RB Salzburg,Lokomotiv Moskva,2,2
2020,Bayern München,Atlético Madrid,4,0
2020,Lokomotiv Moskva,Bayern München,1,2
2020,Atlético Madrid,RB Salzburg,3,2
2020,Lokomotiv Moskva,Atlético Madrid,1,1
2020,RB Salzburg,Bayern München,2,6
2020,Atlético Madrid,Lokomotiv Moskva,0,0
2020,Bayern München,RB Salzburg,3,1
2020,Lokomotiv Moskva,RB Salzburg,1,3
2020,Atlético Madrid,Bayern München,1,1
2020,Bayern München,Lokomotiv Moskva,2,0
2020,RB Salzburg,Atlético Madrid,0,2
2020,Real Madrid,Shakhtar Donetsk,2,3
2020,Inter,Bor. Mönchengladbach,2,2
2020,Shakhtar Donetsk,Inter,0,0
2020,Bor. Mönchengladbach,Real Madrid,2,2
2020,Shakhtar Donetsk,Bor. Mönchengladbach,0,6
2020,Real Madrid,Inter,3,2
2020,Bor. Mönchengladbach,Shakhtar Donetsk,4,0
2020,Inter,Real Madrid,0,2
2020,Shakhtar Donetsk,Real Madrid,2,0
2020,Bor. Mönchengladbach,Inter,2,3
2020,Inter,Shakhtar Donetsk,0,0
2020,Real Madrid,Bor. Mönchengladbach,2,0
2020,Manchester City,FC Porto,3,1
2020,Olympiakos Piraeus,Olympique Marseille,1,0
2020,FC Porto,Olympiakos Piraeus,2,0
2020,Olympique Marseille,Manchester City,0,3
2020,FC Porto,Olympique Marseille,3,0
2020,Manchester City,Olympiakos Piraeus,3,0
2020,Olympiakos Piraeus,Manchester City,0,1
2020,Olympique Marseille,FC Porto,0,2
2020,FC Porto,Manchester City,0,0
2020,Olympique Marseille,Olympiakos Piraeus,2,1
2020,Manchester City,Olympique Marseille,3,0
2020,Olympiakos Piraeus,FC Porto,0,2
2020,AFC Ajax,Liverpool FC,0,1
2020,FC Midtjylland,Atalanta,0,4
2020,Atalanta,AFC Ajax,2,2
2020,Liverpool FC,FC Midtjylland,2,0
2020,Atalanta,Liverpool FC,0,5
2020,FC Midtjylland,AFC Ajax,1,2
2020,AFC Ajax,FC Midtjylland,3,1
2020,Liverpool FC,Atalanta,0,2
2020,Atalanta,FC Midtjylland,1,1
2020,Liverpool FC,AFC Ajax,1,0
2020,AFC Ajax,Atalanta,0,1
2020,FC Midtjylland,Liverpool FC,1,1
2020,Chelsea FC,Sevilla FC,0,0
2020,Stade Rennes,FK Krasnodar,1,1
2020,FK Krasnodar,Chelsea FC,0,4
2020,Sevilla FC,Stade Rennes,1,0
2020,Chelsea FC,Stade Rennes,3,0
2020,Sevilla FC,FK Krasnodar,3,2
2020,Stade Rennes,Chelsea FC,1,2
2020,FK Krasnodar,Sevilla FC,1,2
2020,FK Krasnodar,Stade Rennes,1,0
2020,Sevilla FC,Chelsea FC,0,4
