SEASON,HOME_TEAM,AWAY_TEAM,HT_SCORE,AW_SCORE
2021,Manchester City,RB Leipzig,6,3
2021,Club Brugge KV,Paris Saint-Germain,1,1
2021,Paris Saint-Germain,Manchester City,2,0
2021,RB Leipzig,Club Brugge KV,1,2
2021,Club Brugge KV,Manchester City,1,5
2021,Paris Saint-Germain,RB Leipzig,3,2
2021,RB Leipzig,Paris Saint-Germain,2,2
2021,Manchester City,Club Brugge KV,4,1
2021,Manchester City,Paris Saint-Germain,2,1
2021,Club Brugge KV,RB Leipzig,0,5
2021,RB Leipzig,Manchester City,2,1
2021,Paris Saint-Germain,Club Brugge KV,4,1
2021,Atlético Madrid,FC Porto,0,0
2021,Liverpool FC,AC Milan,3,2
2021,FC Porto,Liverpool FC,1,5
2021,AC Milan,Atlético Madrid,1,2
2021,Atlético Madrid,Liverpool FC,2,3
2021,FC Porto,AC Milan,1,0
2021,AC Milan,FC Porto,1,1
2021,Liverpool FC,Atlético Madrid,2,0
2021,Liverpool FC,FC Porto,2,0
2021,Atlético Madrid,AC Milan,0,1
2021,FC Porto,Atlético Madrid,1,3
2021,AC Milan,Liverpool FC,1,2
2021,Be?ikta?,Borussia Dortmund,1,2
2021,Sporting CP,AFC Ajax,1,5
2021,AFC Ajax,Be?ikta?,2,0
2021,Borussia Dortmund,Sporting CP,1,0
2021,Be?ikta?,Sporting CP,1,4
2021,AFC Ajax,Borussia Dortmund,4,0
2021,Borussia Dortmund,AFC Ajax,1,3
2021,Sporting CP,Be?ikta?,4,0
2021,Be?ikta?,AFC Ajax,1,2
2021,Sporting CP,Borussia Dortmund,3,1
2021,AFC Ajax,Sporting CP,4,2
2021,Borussia Dortmund,Be?ikta?,5,0
2021,FC Sheriff,Shakhtar Donetsk,2,0
2021,Inter,Real Madrid,0,1
2021,Shakhtar Donetsk,Inter,0,0
2021,Real Madrid,FC Sheriff,1,2
2021,Shakhtar Donetsk,Real Madrid,0,5
2021,Inter,FC Sheriff,3,1
2021,Real Madrid,Shakhtar Donetsk,2,1
2021,FC Sheriff,Inter,1,3
2021,Inter,Shakhtar Donetsk,2,0
2021,FC Sheriff,Real Madrid,0,3
2021,Real Madrid,Inter,2,0
2021,Shakhtar Donetsk,FC Sheriff,1,1
2021,FC Barcelona,Bayern München,0,3
2021,Dinamo Kiev,SL Benfica,0,0
2021,SL Benfica,FC Barcelona,3,0
2021,Bayern München,Dinamo Kiev,5,0
2021,FC Barcelona,Dinamo Kiev,1,0
2021,SL Benfica,Bayern München,0,4
2021,Bayern München,SL Benfica,5,2
2021,Dinamo Kiev,FC Barcelona,0,1
2021,Dinamo Kiev,Bayern München,1,2
2021,FC Barcelona,SL Benfica,0,0
2021,Bayern München,FC Barcelona,3,0
2021,SL Benfica,Dinamo Kiev,2,0
2021,BSC Young Boys,Manchester United,2,1
2021,Villarreal CF,Atalanta,2,2
2021,Atalanta,BSC Young Boys,1,0
2021,Manchester United,Villarreal CF,2,1
2021,Manchester United,Atalanta,3,2
2021,BSC Young Boys,Villarreal CF,1,4
2021,Atalanta,Manchester United,2,2
2021,Villarreal CF,BSC Young Boys,2,0
2021,Villarreal CF,Manchester United,0,2
2021,BSC Young Boys,Atalanta,3,3
2021,Manchester United,BSC Young Boys,1,1
2021,Atalanta,Villarreal CF,2,3
2021,Sevilla FC,RB Salzburg,1,1
2021,Lille OSC,VfL Wolfsburg,0,0
2021,RB Salzburg,Lille OSC,2,1
2021,VfL Wolfsburg,Sevilla FC,1,1
2021,RB Salzburg,VfL Wolfsburg,3,1
2021,Lille OSC,Sevilla FC,0,0
2021,VfL Wolfsburg,RB Salzburg,2,1
2021,Sevilla FC,Lille OSC,1,2
2021,Lille OSC,RB Salzburg,1,0
2021,Sevilla FC,VfL Wolfsburg,2,0
