HOME_TEAM,Goles a favor,Goles en contra,Partidos jugados,Victorias,Empates,Derrotas,Porcentaje Victoria,Porcentaje Empate,Porcentaje Derrota
Rangers,2,22,6,0,0,3,0.0,0.0,50.0
Qaraba? FK,2,14,6,0,2,2,0.0,33.33333333333333,33.33333333333333
PSV Eindhoven,10,24,12,0,4,4,0.0,33.33333333333333,33.33333333333333
PFC Ludogorets Razgrad,6,15,6,0,3,1,0.0,50.0,16.666666666666664
NK Maribor,3,16,6,0,3,2,0.0,50.0,33.33333333333333
Malmö FF,1,14,6,0,1,3,0.0,16.666666666666664,50.0
Ferencvárosi TC,5,17,6,0,1,3,0.0,16.666666666666664,50.0
FC Midtjylland,4,13,6,0,2,2,0.0,33.33333333333333,33.33333333333333
APOEL Nikosia,2,17,6,0,2,2,0.0,33.33333333333333,33.33333333333333
AEK Athen,2,13,6,0,0,3,0.0,0.0,50.0
KRC Genk,5,20,6,0,1,3,0.0,16.666666666666664,50.0
