Equipos,Victorias Locales,Victorias Visitantes,Empates Locales,Empates Visitantes,Derrotas Locales,Derrotas Visitantes,Victorias Totales,Empates Totales,Derrotas Totales,Partidos Totales,Porcentage Victoria,Porcentage Empate,Porcentage Derrota
Dinamo Zagreb,2.0,0.0,2.0,1.0,5.0,8,0.0,3.0,13.0,0.0,0.0,0.0,0.0
Eintracht Frankfurt,1.0,2.0,1.0,0.0,2.0,2,3.0,0.0,4.0,0.0,0.0,0.0,0.0
FC København,1.0,1.0,5.0,1.0,0.0,4,2.0,6.0,0.0,0.0,0.0,0.0,0.0
FC Midtjylland,0.0,0.0,1.0,1.0,2.0,2,0.0,2.0,4.0,0.0,0.0,0.0,0.0
FC Sheriff,1.0,1.0,0.0,1.0,2.0,1,2.0,0.0,3.0,0.0,0.0,0.0,0.0
FK Krasnodar,1.0,0.0,0.0,2.0,2.0,1,0.0,0.0,3.0,0.0,0.0,0.0,0.0
FK Rostov,1.0,0.0,1.0,1.0,1.0,2,0.0,2.0,3.0,0.0,0.0,0.0,0.0
Ferencvárosi TC,0.0,0.0,1.0,0.0,2.0,3,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Feyenoord,1.0,0.0,0.0,0.0,2.0,3,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Galatasaray,1.0,0.0,2.0,1.0,3.0,5,0.0,3.0,8.0,0.0,0.0,0.0,0.0
KRC Genk,0.0,0.0,1.0,0.0,2.0,3,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Lazio Roma,2.0,0.0,1.0,3.0,1.0,1,0.0,4.0,2.0,0.0,0.0,0.0,0.0
Legia Warszawa,1.0,0.0,1.0,0.0,1.0,3,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Leicester City,4.0,1.0,1.0,1.0,0.0,3,5.0,2.0,0.0,0.0,0.0,0.0,0.0
Lille OSC,1.0,2.0,3.0,0.0,3.0,5,3.0,0.0,8.0,0.0,0.0,0.0,0.0
Maccabi Haifa,1.0,0.0,0.0,0.0,2.0,3,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Malmö FF,0.0,0.0,1.0,0.0,2.0,3,0.0,0.0,5.0,0.0,0.0,0.0,0.0
NK Maribor,0.0,0.0,2.0,1.0,1.0,2,0.0,3.0,3.0,0.0,0.0,0.0,0.0
