SEASON,HOME_TEAM,AWAY_TEAM,HT_SCORE,AW_SCORE
2022,Manchester City,Inter,1,0
2022,Manchester City,Real Madrid,4,0
2022,Inter,AC Milan,1,0
2022,AC Milan,Inter,0,2
2022,Real Madrid,Manchester City,1,1
2022,Inter,SL Benfica,3,3
2022,Bayern München,Manchester City,1,1
2022,SSC Napoli,AC Milan,1,1
2022,Chelsea FC,Real Madrid,0,2
2022,Real Madrid,Chelsea FC,2,0
2022,AC Milan,SSC Napoli,1,0
2022,Manchester City,Bayern München,3,0
2022,SL Benfica,Inter,0,2
2022,Real Madrid,Liverpool FC,1,0
2022,SSC Napoli,Eintracht Frankfurt,3,0
2022,Manchester City,RB Leipzig,7,0
2022,FC Porto,Inter,0,0
2022,Tottenham Hotspur,AC Milan,0,0
2022,Bayern München,Paris Saint-Germain,2,0
2022,Chelsea FC,Borussia Dortmund,2,0
2022,SL Benfica,Club Brugge KV,5,1
2022,Inter,FC Porto,1,0
2022,RB Leipzig,Manchester City,1,1
2022,Liverpool FC,Real Madrid,2,5
2022,Eintracht Frankfurt,SSC Napoli,0,2
2022,Borussia Dortmund,Chelsea FC,1,0
2022,Club Brugge KV,SL Benfica,0,2
2022,Paris Saint-Germain,Bayern München,0,1
2022,AC Milan,Tottenham Hotspur,1,0
2022,AC Milan,RB Salzburg,4,0
2022,Manchester City,Sevilla FC,3,1
2022,Maccabi Haifa,SL Benfica,1,6
2022,Juventus,Paris Saint-Germain,1,2
2022,FC København,Borussia Dortmund,1,1
2022,Chelsea FC,Dinamo Zagreb,2,1
2022,Real Madrid,Celtic FC,5,1
2022,Shakhtar Donetsk,RB Leipzig,0,4
2022,Liverpool FC,SSC Napoli,2,0
2022,Viktoria PlzeÅ,FC Barcelona,2,4
2022,Sporting CP,Eintracht Frankfurt,1,2
2022,Rangers,AFC Ajax,1,3
2022,Olympique Marseille,Tottenham Hotspur,1,2
2022,Bayern München,Inter,2,0
2022,FC Porto,Atlético Madrid,2,1
2022,Bayer Leverkusen,Club Brugge KV,0,0
2022,Tottenham Hotspur,Sporting CP,1,1
2022,SSC Napoli,Rangers,3,0
2022,Eintracht Frankfurt,Olympique Marseille,2,1
2022,FC Barcelona,Bayern München,0,3
2022,Atlético Madrid,Bayer Leverkusen,2,2
2022,AFC Ajax,Liverpool FC,0,3
2022,Inter,Viktoria PlzeÅ,4,0
2022,Club Brugge KV,FC Porto,0,4
2022,RB Leipzig,Real Madrid,3,2
2022,Paris Saint-Germain,Maccabi Haifa,7,2
2022,Dinamo Zagreb,AC Milan,0,4
2022,Celtic FC,Shakhtar Donetsk,1,1
2022,Borussia Dortmund,Manchester City,0,0
2022,SL Benfica,Juventus,4,3
2022,Sevilla FC,FC København,3,0
2022,RB Salzburg,Chelsea FC,1,2
2022,Sporting CP,Olympique Marseille,0,2
2022,Rangers,Liverpool FC,1,7
2022,Bayer Leverkusen,FC Porto,0,3
2022,FC Barcelona,Inter,3,3
2022,Viktoria PlzeÅ,Bayern München,2,4
2022,Tottenham Hotspur,Eintracht Frankfurt,3,2
2022,SSC Napoli,AFC Ajax,4,2
2022,Atlético Madrid,Club Brugge KV,0,0
2022,Borussia Dortmund,Sevilla FC,1,1
2022,Shakhtar Donetsk,Real Madrid,1,1
2022,Paris Saint-Germain,SL Benfica,1,1
2022,AC Milan,Chelsea FC,0,2
2022,Dinamo Zagreb,RB Salzburg,1,1
2022,Celtic FC,RB Leipzig,0,2
2022,Maccabi Haifa,Juventus,2,0
2022,FC København,Manchester City,0,0
2022,Real Madrid,Shakhtar Donetsk,2,1
2022,Manchester City,FC København,5,0
2022,Juventus,Maccabi Haifa,3,1
2022,Chelsea FC,AC Milan,3,0
2022,SL Benfica,Paris Saint-Germain,1,1
2022,Sevilla FC,Borussia Dortmund,1,4
2022,RB Leipzig,Celtic FC,3,1
2022,RB Salzburg,Dinamo Zagreb,1,0
2022,AFC Ajax,SSC Napoli,1,6
2022,Liverpool FC,Rangers,2,0
2022,Inter,FC Barcelona,1,0
2022,FC Porto,Bayer Leverkusen,2,0
2022,Eintracht Frankfurt,Tottenham Hotspur,0,0
2022,Club Brugge KV,Atlético Madrid,2,0
2022,Olympique Marseille,Sporting CP,4,1
2022,Bayern München,Viktoria PlzeÅ,5,0
2022,Real Madrid,RB Leipzig,2,0
2022,Manchester City,Borussia Dortmund,2,1
2022,Maccabi Haifa,Paris Saint-Germain,1,3
2022,Juventus,SL Benfica,1,2
2022,FC København,Sevilla FC,0,0
2022,Chelsea FC,RB Salzburg,1,1
2022,Rangers,SSC Napoli,0,3
2022,Shakhtar Donetsk,Celtic FC,1,1
2022,AC Milan,Dinamo Zagreb,3,1
2022,Olympique Marseille,Eintracht Frankfurt,0,1
2022,Liverpool FC,AFC Ajax,2,1
2022,FC Porto,Club Brugge KV,0,4
2022,Bayern München,FC Barcelona,2,0
2022,Bayer Leverkusen,Atlético Madrid,2,0
2022,Viktoria PlzeÅ,Inter,0,2
2022,Sporting CP,Tottenham Hotspur,2,0
2022,SSC Napoli,Liverpool FC,4,1
2022,Inter,Bayern München,0,2
2022,Club Brugge KV,Bayer Leverkusen,1,0
2022,FC Barcelona,Viktoria PlzeÅ,5,1
2022,Atlético Madrid,FC Porto,2,1
2022,Tottenham Hotspur,Olympique Marseille,2,0
2022,Eintracht Frankfurt,Sporting CP,0,3
2022,AFC Ajax,Rangers,4,0
2022,SL Benfica,Maccabi Haifa,2,0
2022,Sevilla FC,Manchester City,0,4
2022,RB Leipzig,Shakhtar Donetsk,1,4
2022,Paris Saint-Germain,Juventus,2,1
2022,RB Salzburg,AC Milan,1,1
2022,Celtic FC,Real Madrid,0,3
2022,Dinamo Zagreb,Chelsea FC,1,0
2022,Borussia Dortmund,FC København,3,0
