SEASON,HOME_TEAM,AWAY_TEAM,HT_SCORE,AW_SCORE
2021-01-01,Shakhtar Donetsk,Inter,0,0
2021-01-01,Real Madrid,FC Sheriff,1,2
2021-01-01,Shakhtar Donetsk,Real Madrid,0,5
2021-01-01,Inter,FC Sheriff,3,1
2021-01-01,Real Madrid,Shakhtar Donetsk,2,1
2021-01-01,FC Sheriff,Inter,1,3
2021-01-01,Inter,Shakhtar Donetsk,2,0
2021-01-01,FC Sheriff,Real Madrid,0,3
2021-01-01,Real Madrid,Inter,2,0
2021-01-01,Shakhtar Donetsk,FC Sheriff,1,1
2021-01-01,FC Barcelona,Bayern München,0,3
2021-01-01,Dinamo Kiev,SL Benfica,0,0
2021-01-01,SL Benfica,FC Barcelona,3,0
2021-01-01,Bayern München,Dinamo Kiev,5,0
2021-01-01,FC Barcelona,Dinamo Kiev,1,0
2021-01-01,SL Benfica,Bayern München,0,4
2021-01-01,Bayern München,SL Benfica,5,2
2021-01-01,Dinamo Kiev,FC Barcelona,0,1
2021-01-01,Dinamo Kiev,Bayern München,1,2
2021-01-01,FC Barcelona,SL Benfica,0,0
2021-01-01,Bayern München,FC Barcelona,3,0
2021-01-01,SL Benfica,Dinamo Kiev,2,0
2021-01-01,BSC Young Boys,Manchester United,2,1
2021-01-01,Villarreal CF,Atalanta,2,2
2021-01-01,Atalanta,BSC Young Boys,1,0
2021-01-01,Manchester United,Villarreal CF,2,1
2021-01-01,Manchester United,Atalanta,3,2
2021-01-01,BSC Young Boys,Villarreal CF,1,4
2021-01-01,Atalanta,Manchester United,2,2
2021-01-01,Villarreal CF,BSC Young Boys,2,0
2021-01-01,Villarreal CF,Manchester United,0,2
2021-01-01,BSC Young Boys,Atalanta,3,3
2021-01-01,Manchester United,BSC Young Boys,1,1
2021-01-01,Atalanta,Villarreal CF,2,3
2021-01-01,Sevilla FC,RB Salzburg,1,1
2021-01-01,Lille OSC,VfL Wolfsburg,0,0
2021-01-01,RB Salzburg,Lille OSC,2,1
2021-01-01,VfL Wolfsburg,Sevilla FC,1,1
2021-01-01,RB Salzburg,VfL Wolfsburg,3,1
2021-01-01,Lille OSC,Sevilla FC,0,0
2021-01-01,VfL Wolfsburg,RB Salzburg,2,1
2021-01-01,Sevilla FC,Lille OSC,1,2
2021-01-01,Lille OSC,RB Salzburg,1,0
2021-01-01,Sevilla FC,VfL Wolfsburg,2,0
2021-01-01,RB Salzburg,Sevilla FC,1,0
2021-01-01,VfL Wolfsburg,Lille OSC,1,3
2021-01-01,Chelsea FC,Zenit St. Petersburg,1,0
2021-01-01,Malmö FF,Juventus,0,3
2021-01-01,Zenit St. Petersburg,Malmö FF,4,0
2021-01-01,Juventus,Chelsea FC,1,0
2021-01-01,Zenit St. Petersburg,Juventus,0,1
2021-01-01,Chelsea FC,Malmö FF,4,0
2021-01-01,Malmö FF,Chelsea FC,0,1
2021-01-01,Juventus,Zenit St. Petersburg,4,2
2021-01-01,Chelsea FC,Juventus,4,0
2021-01-01,Malmö FF,Zenit St. Petersburg,1,1
2021-01-01,Zenit St. Petersburg,Chelsea FC,3,3
2021-01-01,Juventus,Malmö FF,1,0
2021-01-01,Sporting CP,Manchester City,0,5
2021-01-01,Paris Saint-Germain,Real Madrid,1,0
2021-01-01,RB Salzburg,Bayern München,1,1
2021-01-01,Inter,Liverpool FC,0,2
2021-01-01,Chelsea FC,Lille OSC,2,0
2021-01-01,Villarreal CF,Juventus,1,1
2021-01-01,SL Benfica,AFC Ajax,2,2
2021-01-01,Atlético Madrid,Manchester United,1,1
2021-01-01,Bayern München,RB Salzburg,7,1
2021-01-01,Liverpool FC,Inter,0,1
2021-01-01,Manchester City,Sporting CP,0,0
2021-01-01,Real Madrid,Paris Saint-Germain,3,1
2021-01-01,AFC Ajax,SL Benfica,0,1
2021-01-01,Manchester United,Atlético Madrid,0,1
2021-01-01,Lille OSC,Chelsea FC,1,2
2021-01-01,Juventus,Villarreal CF,0,3
2021-01-01,Manchester City,Atlético Madrid,1,0
2021-01-01,SL Benfica,Liverpool FC,1,3
2021-01-01,Chelsea FC,Real Madrid,1,3
2021-01-01,Villarreal CF,Bayern München,1,0
2021-01-01,Real Madrid,Chelsea FC,2,3
2021-01-01,Bayern München,Villarreal CF,1,1
2021-01-01,Atlético Madrid,Manchester City,0,0
2021-01-01,Liverpool FC,SL Benfica,3,3
2021-01-01,Manchester City,Real Madrid,4,3
2021-01-01,Liverpool FC,Villarreal CF,2,0
2021-01-01,Villarreal CF,Liverpool FC,2,3
2021-01-01,Real Madrid,Manchester City,3,1
2021-01-01,Liverpool FC,Real Madrid,0,1
