SEASON,HOME_TEAM,AWAY_TEAM,HT_SCORE,AW_SCORE
2021-01-01,Manchester City,RB Leipzig,6,3
2021-01-01,Club Brugge KV,Paris Saint-Germain,1,1
2021-01-01,Paris Saint-Germain,Manchester City,2,0
2021-01-01,RB Leipzig,Club Brugge KV,1,2
2021-01-01,Club Brugge KV,Manchester City,1,5
2021-01-01,Paris Saint-Germain,RB Leipzig,3,2
2021-01-01,RB Leipzig,Paris Saint-Germain,2,2
2021-01-01,Manchester City,Club Brugge KV,4,1
2021-01-01,Manchester City,Paris Saint-Germain,2,1
2021-01-01,Club Brugge KV,RB Leipzig,0,5
2021-01-01,RB Leipzig,Manchester City,2,1
2021-01-01,Paris Saint-Germain,Club Brugge KV,4,1
2021-01-01,Atlético Madrid,FC Porto,0,0
2021-01-01,Liverpool FC,AC Milan,3,2
2021-01-01,FC Porto,Liverpool FC,1,5
2021-01-01,AC Milan,Atlético Madrid,1,2
2021-01-01,Atlético Madrid,Liverpool FC,2,3
2021-01-01,FC Porto,AC Milan,1,0
2021-01-01,AC Milan,FC Porto,1,1
2021-01-01,Liverpool FC,Atlético Madrid,2,0
2021-01-01,Liverpool FC,FC Porto,2,0
2021-01-01,Atlético Madrid,AC Milan,0,1
2021-01-01,FC Porto,Atlético Madrid,1,3
2021-01-01,AC Milan,Liverpool FC,1,2
2021-01-01,Be?ikta?,Borussia Dortmund,1,2
2021-01-01,Sporting CP,AFC Ajax,1,5
2021-01-01,AFC Ajax,Be?ikta?,2,0
2021-01-01,Borussia Dortmund,Sporting CP,1,0
2021-01-01,Be?ikta?,Sporting CP,1,4
2021-01-01,AFC Ajax,Borussia Dortmund,4,0
2021-01-01,Borussia Dortmund,AFC Ajax,1,3
2021-01-01,Sporting CP,Be?ikta?,4,0
2021-01-01,Be?ikta?,AFC Ajax,1,2
2021-01-01,Sporting CP,Borussia Dortmund,3,1
2021-01-01,AFC Ajax,Sporting CP,4,2
2021-01-01,Borussia Dortmund,Be?ikta?,5,0
2021-01-01,FC Sheriff,Shakhtar Donetsk,2,0
2021-01-01,Inter,Real Madrid,0,1
