SEASON,HOME_TEAM,AWAY_TEAM,HT_SCORE,AW_SCORE
2019-01-01,Club Brugge KV,Galatasaray,0,0
2019-01-01,Paris Saint-Germain,Real Madrid,3,0
2019-01-01,Real Madrid,Club Brugge KV,2,2
2019-01-01,Galatasaray,Paris Saint-Germain,0,1
2019-01-01,Club Brugge KV,Paris Saint-Germain,0,5
2019-01-01,Galatasaray,Real Madrid,0,1
2019-01-01,Paris Saint-Germain,Club Brugge KV,1,0
2019-01-01,Real Madrid,Galatasaray,6,0
2019-01-01,Galatasaray,Club Brugge KV,1,1
2019-01-01,Real Madrid,Paris Saint-Germain,2,2
2019-01-01,Paris Saint-Germain,Galatasaray,5,0
2019-01-01,Club Brugge KV,Real Madrid,1,3
2019-01-01,Olympiakos Piraeus,Tottenham Hotspur,2,2
2019-01-01,Bayern München,Crvena Zvezda,3,0
2019-01-01,Tottenham Hotspur,Bayern München,2,7
2019-01-01,Crvena Zvezda,Olympiakos Piraeus,3,1
2019-01-01,Tottenham Hotspur,Crvena Zvezda,5,0
2019-01-01,Olympiakos Piraeus,Bayern München,2,3
2019-01-01,Bayern München,Olympiakos Piraeus,2,0
2019-01-01,Crvena Zvezda,Tottenham Hotspur,0,4
2019-01-01,Tottenham Hotspur,Olympiakos Piraeus,4,2
2019-01-01,Crvena Zvezda,Bayern München,0,6
2019-01-01,Bayern München,Tottenham Hotspur,3,1
2019-01-01,Olympiakos Piraeus,Crvena Zvezda,1,0
2019-01-01,Shakhtar Donetsk,Manchester City,0,3
2019-01-01,Dinamo Zagreb,Atalanta,4,0
2019-01-01,Atalanta,Shakhtar Donetsk,1,2
2019-01-01,Manchester City,Dinamo Zagreb,2,0
2019-01-01,Shakhtar Donetsk,Dinamo Zagreb,2,2
2019-01-01,Manchester City,Atalanta,5,1
2019-01-01,Dinamo Zagreb,Shakhtar Donetsk,3,3
2019-01-01,Atalanta,Manchester City,1,1
2019-01-01,Manchester City,Shakhtar Donetsk,1,1
2019-01-01,Atalanta,Dinamo Zagreb,2,0
2019-01-01,Shakhtar Donetsk,Atalanta,0,3
2019-01-01,Dinamo Zagreb,Manchester City,1,4
2019-01-01,Atlético Madrid,Juventus,2,2
2019-01-01,Bayer Leverkusen,Lokomotiv Moskva,1,2
2019-01-01,Juventus,Bayer Leverkusen,3,0
2019-01-01,Lokomotiv Moskva,Atlético Madrid,0,2
2019-01-01,Atlético Madrid,Bayer Leverkusen,1,0
2019-01-01,Juventus,Lokomotiv Moskva,2,1
2019-01-01,Lokomotiv Moskva,Juventus,1,2
2019-01-01,Bayer Leverkusen,Atlético Madrid,2,1
2019-01-01,Lokomotiv Moskva,Bayer Leverkusen,0,2
2019-01-01,Juventus,Atlético Madrid,1,0
2019-01-01,Atlético Madrid,Lokomotiv Moskva,2,0
2019-01-01,Bayer Leverkusen,Juventus,0,2
2019-01-01,SSC Napoli,Liverpool FC,2,0
2019-01-01,RB Salzburg,KRC Genk,6,2
2019-01-01,KRC Genk,SSC Napoli,0,0
2019-01-01,Liverpool FC,RB Salzburg,4,3
2019-01-01,RB Salzburg,SSC Napoli,2,3
2019-01-01,KRC Genk,Liverpool FC,1,4
2019-01-01,Liverpool FC,KRC Genk,2,1
2019-01-01,SSC Napoli,RB Salzburg,1,1
2019-01-01,Liverpool FC,SSC Napoli,1,1
2019-01-01,KRC Genk,RB Salzburg,1,4
2019-01-01,SSC Napoli,KRC Genk,4,0
2019-01-01,RB Salzburg,Liverpool FC,0,2
2019-01-01,Inter,Slavia Praha,1,1
2019-01-01,Borussia Dortmund,FC Barcelona,0,0
2019-01-01,Slavia Praha,Borussia Dortmund,0,2
2019-01-01,FC Barcelona,Inter,2,1
2019-01-01,Inter,Borussia Dortmund,2,0
2019-01-01,Slavia Praha,FC Barcelona,1,2
2019-01-01,FC Barcelona,Slavia Praha,0,0
2019-01-01,Borussia Dortmund,Inter,3,2
2019-01-01,FC Barcelona,Borussia Dortmund,3,1
2019-01-01,Slavia Praha,Inter,1,3
2019-01-01,Borussia Dortmund,Slavia Praha,2,1
2019-01-01,Inter,FC Barcelona,1,2
2019-01-01,Olympique Lyon,Zenit St. Petersburg,1,1
2019-01-01,SL Benfica,RB Leipzig,1,2
2019-01-01,Zenit St. Petersburg,SL Benfica,3,1
2019-01-01,RB Leipzig,Olympique Lyon,0,2
2019-01-01,RB Leipzig,Zenit St. Petersburg,2,1
2019-01-01,SL Benfica,Olympique Lyon,2,1
2019-01-01,Zenit St. Petersburg,RB Leipzig,0,2
2019-01-01,Olympique Lyon,SL Benfica,3,1
2019-01-01,Zenit St. Petersburg,Olympique Lyon,2,0
2019-01-01,RB Leipzig,SL Benfica,2,2
2019-01-01,SL Benfica,Zenit St. Petersburg,3,0
2019-01-01,Olympique Lyon,RB Leipzig,2,2
2019-01-01,Chelsea FC,Valencia CF,0,1
2019-01-01,AFC Ajax,Lille OSC,3,0
2019-01-01,Valencia CF,AFC Ajax,0,3
2019-01-01,Lille OSC,Chelsea FC,1,2
2019-01-01,AFC Ajax,Chelsea FC,0,1
2019-01-01,Lille OSC,Valencia CF,1,1
2019-01-01,Chelsea FC,AFC Ajax,4,4
2019-01-01,Valencia CF,Lille OSC,4,1
2019-01-01,Valencia CF,Chelsea FC,2,2
2019-01-01,Lille OSC,AFC Ajax,0,2
2019-01-01,Chelsea FC,Lille OSC,2,1
2019-01-01,AFC Ajax,Valencia CF,0,1
2019-01-01,Borussia Dortmund,Paris Saint-Germain,2,1
2019-01-01,Atlético Madrid,Liverpool FC,1,0
2019-01-01,Atalanta,Valencia CF,4,1
2019-01-01,Tottenham Hotspur,RB Leipzig,0,1
2019-01-01,Chelsea FC,Bayern München,0,3
2019-01-01,SSC Napoli,FC Barcelona,1,1
2019-01-01,Real Madrid,Manchester City,1,2
2019-01-01,Olympique Lyon,Juventus,1,0
2019-01-01,Valencia CF,Atalanta,3,4
2019-01-01,RB Leipzig,Tottenham Hotspur,3,0
2019-01-01,Paris Saint-Germain,Borussia Dortmund,2,0
2019-01-01,Liverpool FC,Atlético Madrid,2,3
2019-01-01,Manchester City,Real Madrid,2,1
2019-01-01,Juventus,Olympique Lyon,2,1
2019-01-01,Bayern München,Chelsea FC,4,1
2019-01-01,FC Barcelona,SSC Napoli,3,1
2019-01-01,Atalanta,Paris Saint-Germain,1,2
2019-01-01,RB Leipzig,Atlético Madrid,2,1
2019-01-01,FC Barcelona,Bayern München,2,8
2019-01-01,Manchester City,Olympique Lyon,1,3
2019-01-01,RB Leipzig,Paris Saint-Germain,0,3
2019-01-01,Olympique Lyon,Bayern München,0,3
2019-01-01,Paris Saint-Germain,Bayern München,0,1
