SEASON,HOME_TEAM,AWAY_TEAM,HT_SCORE,AW_SCORE
2017-01-01,Manchester United,FC Basel,3,0
2017-01-01,SL Benfica,CSKA Moskva,1,2
2017-01-01,FC Basel,SL Benfica,5,0
2017-01-01,CSKA Moskva,Manchester United,1,4
2017-01-01,SL Benfica,Manchester United,0,1
2017-01-01,CSKA Moskva,FC Basel,0,2
2017-01-01,Manchester United,SL Benfica,2,0
2017-01-01,FC Basel,CSKA Moskva,1,2
2017-01-01,CSKA Moskva,SL Benfica,2,0
2017-01-01,FC Basel,Manchester United,1,0
2017-01-01,SL Benfica,FC Basel,0,2
2017-01-01,Manchester United,CSKA Moskva,2,1
2017-01-01,Bayern München,RSC Anderlecht,3,0
2017-01-01,Celtic FC,Paris Saint-Germain,0,5
2017-01-01,Paris Saint-Germain,Bayern München,3,0
2017-01-01,RSC Anderlecht,Celtic FC,0,3
2017-01-01,RSC Anderlecht,Paris Saint-Germain,0,4
2017-01-01,Bayern München,Celtic FC,3,0
2017-01-01,Paris Saint-Germain,RSC Anderlecht,5,0
2017-01-01,Celtic FC,Bayern München,1,2
2017-01-01,RSC Anderlecht,Bayern München,1,2
2017-01-01,Paris Saint-Germain,Celtic FC,7,1
2017-01-01,Bayern München,Paris Saint-Germain,3,1
2017-01-01,Celtic FC,RSC Anderlecht,0,1
2017-01-01,AS Roma,Atlético Madrid,0,0
2017-01-01,Chelsea FC,Qaraba? FK,6,0
2017-01-01,Qaraba? FK,AS Roma,1,2
2017-01-01,Atlético Madrid,Chelsea FC,1,2
2017-01-01,Qaraba? FK,Atlético Madrid,0,0
2017-01-01,Chelsea FC,AS Roma,3,3
2017-01-01,AS Roma,Chelsea FC,3,0
2017-01-01,Atlético Madrid,Qaraba? FK,1,1
2017-01-01,Qaraba? FK,Chelsea FC,0,4
2017-01-01,Atlético Madrid,AS Roma,2,0
2017-01-01,Chelsea FC,Atlético Madrid,1,1
2017-01-01,AS Roma,Qaraba? FK,1,0
2017-01-01,FC Barcelona,Juventus,3,0
2017-01-01,Olympiakos Piraeus,Sporting CP,2,3
2017-01-01,Juventus,Olympiakos Piraeus,2,0
2017-01-01,Sporting CP,FC Barcelona,0,1
2017-01-01,FC Barcelona,Olympiakos Piraeus,3,1
2017-01-01,Juventus,Sporting CP,2,1
2017-01-01,Olympiakos Piraeus,FC Barcelona,0,0
2017-01-01,Sporting CP,Juventus,1,1
2017-01-01,Juventus,FC Barcelona,0,0
2017-01-01,Sporting CP,Olympiakos Piraeus,3,1
2017-01-01,FC Barcelona,Sporting CP,2,0
2017-01-01,Olympiakos Piraeus,Juventus,0,2
2017-01-01,Liverpool FC,Sevilla FC,2,2
2017-01-01,NK Maribor,Spartak Moskva,1,1
2017-01-01,Spartak Moskva,Liverpool FC,1,1
2017-01-01,Sevilla FC,NK Maribor,3,0
2017-01-01,Spartak Moskva,Sevilla FC,5,1
2017-01-01,NK Maribor,Liverpool FC,0,7
2017-01-01,Sevilla FC,Spartak Moskva,2,1
2017-01-01,Liverpool FC,NK Maribor,3,0
2017-01-01,Spartak Moskva,NK Maribor,1,1
2017-01-01,Sevilla FC,Liverpool FC,3,3
2017-01-01,Liverpool FC,Spartak Moskva,7,0
2017-01-01,NK Maribor,Sevilla FC,1,1
2017-01-01,Shakhtar Donetsk,SSC Napoli,2,1
2017-01-01,Feyenoord,Manchester City,0,4
2017-01-01,Manchester City,Shakhtar Donetsk,2,0
2017-01-01,SSC Napoli,Feyenoord,3,1
2017-01-01,Manchester City,SSC Napoli,2,1
2017-01-01,Feyenoord,Shakhtar Donetsk,1,2
2017-01-01,SSC Napoli,Manchester City,2,4
2017-01-01,Shakhtar Donetsk,Feyenoord,3,1
2017-01-01,SSC Napoli,Shakhtar Donetsk,3,0
2017-01-01,Manchester City,Feyenoord,1,0
2017-01-01,Shakhtar Donetsk,Manchester City,2,1
2017-01-01,Feyenoord,SSC Napoli,2,1
2017-01-01,FC Porto,Be?ikta?,1,3
2017-01-01,RB Leipzig,AS Monaco,1,1
2017-01-01,AS Monaco,FC Porto,0,3
2017-01-01,Be?ikta?,RB Leipzig,2,0
2017-01-01,AS Monaco,Be?ikta?,1,2
2017-01-01,RB Leipzig,FC Porto,3,2
2017-01-01,Be?ikta?,AS Monaco,1,1
2017-01-01,FC Porto,RB Leipzig,3,1
2017-01-01,Be?ikta?,FC Porto,1,1
2017-01-01,AS Monaco,RB Leipzig,1,4
2017-01-01,FC Porto,AS Monaco,5,2
2017-01-01,RB Leipzig,Be?ikta?,1,2
2017-01-01,Tottenham Hotspur,Borussia Dortmund,3,1
2017-01-01,Real Madrid,APOEL Nikosia,3,0
2017-01-01,Borussia Dortmund,Real Madrid,1,3
2017-01-01,APOEL Nikosia,Tottenham Hotspur,0,3
2017-01-01,Real Madrid,Tottenham Hotspur,1,1
2017-01-01,APOEL Nikosia,Borussia Dortmund,1,1
2017-01-01,Tottenham Hotspur,Real Madrid,3,1
2017-01-01,Borussia Dortmund,APOEL Nikosia,1,1
2017-01-01,Borussia Dortmund,Tottenham Hotspur,1,2
2017-01-01,APOEL Nikosia,Real Madrid,0,6
2017-01-01,Real Madrid,Borussia Dortmund,3,2
2017-01-01,Tottenham Hotspur,APOEL Nikosia,3,0
2017-01-01,Juventus,Tottenham Hotspur,2,2
2017-01-01,FC Basel,Manchester City,0,4
2017-01-01,FC Porto,Liverpool FC,0,5
2017-01-01,Real Madrid,Paris Saint-Germain,3,1
2017-01-01,Chelsea FC,FC Barcelona,1,1
2017-01-01,Bayern München,Be?ikta?,5,0
2017-01-01,Sevilla FC,Manchester United,0,0
2017-01-01,Shakhtar Donetsk,AS Roma,2,1
2017-01-01,Liverpool FC,FC Porto,0,0
2017-01-01,Paris Saint-Germain,Real Madrid,1,2
2017-01-01,Tottenham Hotspur,Juventus,1,2
2017-01-01,Manchester City,FC Basel,1,2
2017-01-01,Manchester United,Sevilla FC,1,2
2017-01-01,AS Roma,Shakhtar Donetsk,1,0
2017-01-01,Be?ikta?,Bayern München,1,3
2017-01-01,FC Barcelona,Chelsea FC,3,0
2017-01-01,Sevilla FC,Bayern München,1,2
2017-01-01,Juventus,Real Madrid,0,3
2017-01-01,FC Barcelona,AS Roma,4,1
2017-01-01,Liverpool FC,Manchester City,3,0
2017-01-01,AS Roma,FC Barcelona,3,0
2017-01-01,Manchester City,Liverpool FC,1,2
2017-01-01,Bayern München,Sevilla FC,0,0
2017-01-01,Real Madrid,Juventus,1,3
2017-01-01,Liverpool FC,AS Roma,5,2
2017-01-01,Bayern München,Real Madrid,1,2
2017-01-01,Real Madrid,Bayern München,2,2
2017-01-01,AS Roma,Liverpool FC,4,2
2017-01-01,Real Madrid,Liverpool FC,3,1
