SEASON,HOME_TEAM,AWAY_TEAM,HT_SCORE,AW_SCORE
2020-01-01,RB Salzburg,Lokomotiv Moskva,2,2
2020-01-01,Bayern München,Atlético Madrid,4,0
2020-01-01,Lokomotiv Moskva,Bayern München,1,2
2020-01-01,Atlético Madrid,RB Salzburg,3,2
2020-01-01,Lokomotiv Moskva,Atlético Madrid,1,1
2020-01-01,RB Salzburg,Bayern München,2,6
2020-01-01,Atlético Madrid,Lokomotiv Moskva,0,0
2020-01-01,Bayern München,RB Salzburg,3,1
2020-01-01,Lokomotiv Moskva,RB Salzburg,1,3
2020-01-01,Atlético Madrid,Bayern München,1,1
2020-01-01,Bayern München,Lokomotiv Moskva,2,0
2020-01-01,RB Salzburg,Atlético Madrid,0,2
2020-01-01,Real Madrid,Shakhtar Donetsk,2,3
2020-01-01,Inter,Bor. Mönchengladbach,2,2
2020-01-01,Shakhtar Donetsk,Inter,0,0
2020-01-01,Bor. Mönchengladbach,Real Madrid,2,2
2020-01-01,Shakhtar Donetsk,Bor. Mönchengladbach,0,6
2020-01-01,Real Madrid,Inter,3,2
2020-01-01,Bor. Mönchengladbach,Shakhtar Donetsk,4,0
2020-01-01,Inter,Real Madrid,0,2
2020-01-01,Shakhtar Donetsk,Real Madrid,2,0
2020-01-01,Bor. Mönchengladbach,Inter,2,3
2020-01-01,Inter,Shakhtar Donetsk,0,0
2020-01-01,Real Madrid,Bor. Mönchengladbach,2,0
2020-01-01,Manchester City,FC Porto,3,1
2020-01-01,Olympiakos Piraeus,Olympique Marseille,1,0
2020-01-01,FC Porto,Olympiakos Piraeus,2,0
2020-01-01,Olympique Marseille,Manchester City,0,3
2020-01-01,FC Porto,Olympique Marseille,3,0
2020-01-01,Manchester City,Olympiakos Piraeus,3,0
2020-01-01,Olympiakos Piraeus,Manchester City,0,1
2020-01-01,Olympique Marseille,FC Porto,0,2
2020-01-01,FC Porto,Manchester City,0,0
2020-01-01,Olympique Marseille,Olympiakos Piraeus,2,1
2020-01-01,Manchester City,Olympique Marseille,3,0
2020-01-01,Olympiakos Piraeus,FC Porto,0,2
2020-01-01,AFC Ajax,Liverpool FC,0,1
2020-01-01,FC Midtjylland,Atalanta,0,4
2020-01-01,Atalanta,AFC Ajax,2,2
2020-01-01,Liverpool FC,FC Midtjylland,2,0
2020-01-01,Atalanta,Liverpool FC,0,5
2020-01-01,FC Midtjylland,AFC Ajax,1,2
2020-01-01,AFC Ajax,FC Midtjylland,3,1
2020-01-01,Liverpool FC,Atalanta,0,2
2020-01-01,Atalanta,FC Midtjylland,1,1
2020-01-01,Liverpool FC,AFC Ajax,1,0
2020-01-01,AFC Ajax,Atalanta,0,1
2020-01-01,FC Midtjylland,Liverpool FC,1,1
2020-01-01,Chelsea FC,Sevilla FC,0,0
2020-01-01,Stade Rennes,FK Krasnodar,1,1
2020-01-01,FK Krasnodar,Chelsea FC,0,4
2020-01-01,Sevilla FC,Stade Rennes,1,0
2020-01-01,Chelsea FC,Stade Rennes,3,0
2020-01-01,Sevilla FC,FK Krasnodar,3,2
2020-01-01,Stade Rennes,Chelsea FC,1,2
2020-01-01,FK Krasnodar,Sevilla FC,1,2
2020-01-01,FK Krasnodar,Stade Rennes,1,0
2020-01-01,Sevilla FC,Chelsea FC,0,4
2020-01-01,Chelsea FC,FK Krasnodar,1,1
2020-01-01,Stade Rennes,Sevilla FC,1,3
2020-01-01,Zenit St. Petersburg,Club Brugge KV,1,2
2020-01-01,Lazio Roma,Borussia Dortmund,3,1
2020-01-01,Borussia Dortmund,Zenit St. Petersburg,2,0
2020-01-01,Club Brugge KV,Lazio Roma,1,1
2020-01-01,Zenit St. Petersburg,Lazio Roma,1,1
2020-01-01,Club Brugge KV,Borussia Dortmund,0,3
2020-01-01,Borussia Dortmund,Club Brugge KV,3,0
2020-01-01,Lazio Roma,Zenit St. Petersburg,3,1
2020-01-01,Borussia Dortmund,Lazio Roma,1,1
2020-01-01,Club Brugge KV,Zenit St. Petersburg,3,0
2020-01-01,Zenit St. Petersburg,Borussia Dortmund,1,2
2020-01-01,Lazio Roma,Club Brugge KV,2,2
2020-01-01,Dinamo Kiev,Juventus,0,2
2020-01-01,FC Barcelona,Ferencvárosi TC,5,1
2020-01-01,Ferencvárosi TC,Dinamo Kiev,2,2
2020-01-01,Juventus,FC Barcelona,0,2
2020-01-01,FC Barcelona,Dinamo Kiev,2,1
2020-01-01,Ferencvárosi TC,Juventus,1,4
2020-01-01,Dinamo Kiev,FC Barcelona,0,4
2020-01-01,Juventus,Ferencvárosi TC,2,1
2020-01-01,Juventus,Dinamo Kiev,3,0
2020-01-01,Ferencvárosi TC,FC Barcelona,0,3
2020-01-01,Dinamo Kiev,Ferencvárosi TC,1,0
2020-01-01,FC Barcelona,Juventus,0,3
2020-01-01,RB Leipzig,?stanbul Ba?ak?ehir,2,0
2020-01-01,Paris Saint-Germain,Manchester United,1,2
2020-01-01,?stanbul Ba?ak?ehir,Paris Saint-Germain,0,2
2020-01-01,Manchester United,RB Leipzig,5,0
2020-01-01,?stanbul Ba?ak?ehir,Manchester United,2,1
2020-01-01,RB Leipzig,Paris Saint-Germain,2,1
2020-01-01,Manchester United,?stanbul Ba?ak?ehir,4,1
2020-01-01,Paris Saint-Germain,RB Leipzig,1,0
2020-01-01,?stanbul Ba?ak?ehir,RB Leipzig,3,4
2020-01-01,Manchester United,Paris Saint-Germain,1,3
2020-01-01,RB Leipzig,Manchester United,3,2
2020-01-01,Paris Saint-Germain,?stanbul Ba?ak?ehir,5,1
2020-01-01,RB Leipzig,Liverpool FC,0,2
2020-01-01,FC Barcelona,Paris Saint-Germain,1,4
2020-01-01,FC Porto,Juventus,2,1
2020-01-01,Sevilla FC,Borussia Dortmund,2,3
2020-01-01,Lazio Roma,Bayern München,1,4
2020-01-01,Atlético Madrid,Chelsea FC,0,1
2020-01-01,Bor. Mönchengladbach,Manchester City,0,2
2020-01-01,Atalanta,Real Madrid,0,1
2020-01-01,Juventus,FC Porto,3,2
2020-01-01,Borussia Dortmund,Sevilla FC,2,2
2020-01-01,Liverpool FC,RB Leipzig,2,0
2020-01-01,Paris Saint-Germain,FC Barcelona,1,1
2020-01-01,Manchester City,Bor. Mönchengladbach,2,0
2020-01-01,Real Madrid,Atalanta,3,1
2020-01-01,Bayern München,Lazio Roma,2,1
2020-01-01,Chelsea FC,Atlético Madrid,2,0
2020-01-01,Manchester City,Borussia Dortmund,2,1
2020-01-01,Real Madrid,Liverpool FC,3,1
2020-01-01,FC Porto,Chelsea FC,0,2
2020-01-01,Bayern München,Paris Saint-Germain,2,3
2020-01-01,Chelsea FC,FC Porto,0,1
2020-01-01,Paris Saint-Germain,Bayern München,0,1
2020-01-01,Borussia Dortmund,Manchester City,1,2
2020-01-01,Liverpool FC,Real Madrid,0,0
2020-01-01,Real Madrid,Chelsea FC,1,1
2020-01-01,Paris Saint-Germain,Manchester City,1,2
2020-01-01,Manchester City,Paris Saint-Germain,2,0
2020-01-01,Chelsea FC,Real Madrid,2,0
2020-01-01,Manchester City,Chelsea FC,0,1
